PyScript, Energy (Joule)
plot_johnson_lindenstrauss_bound.py,184.7694862283144
plot_nca_dim_reduction.py,34.463683289719626
bench_plot_lasso_path_64.py,55.61623278321678
bench_tree_n1_3_n2_6.py,67.6641185373494
bench_plot_lasso_path_55.py,34.69941677183099
bench_plot_lasso_path_77.py,100.98357805504587
plot_species_kde.py,59.461472504504506
plot_multioutput_face_completion.py,42.335700405797105
bench_tree_n1_4_n2_3.py,92.4368059907611
example.py,4.6012428990825684
plot_iris_dataset.py,8.662560197916667
bench_tree_n1_6_n2_5.py,194.71602535042194
plot_gpr_on_structured_data.py,8.512523866666667
bench_plot_lasso_path_34.py,49.42623993052109
bench_hist_gradient_boosting_adult.py,25.90066584507042
bench_plot_lasso_path_6.py,34.883922942528734
bench_plot_lasso_path_18.py,40.79853993478261
bench_tree_n1_3_n2_5.py,65.53783104822335
bench_plot_lasso_path_56.py,38.12766190476191
plot_voting_decision_regions.py,11.10356729527559
plot_forest_importances_faces.py,23.690696785454545
plot_coin_ward_segmentation.py,13.125488727272728
plot_ard.py,26.727685795454544
bench_plot_lasso_path_31.py,46.37034585271318
plot_pca_vs_lda.py,8.29727414054054
plot_gpr_noisy.py,47.91239267981438
bench_plot_lasso_path_23.py,43.71955180851063
bench_plot_lasso_path_54.py,35.79787
plot_beta_divergence.py,10.155679956331877
plot_multilabel.py,9.20366315609756
plot_manifold_sphere.py,73.87993916546762
bench_tree_n1_3_n2_8.py,81.64465838807479
bench_tree_n1_6_n2_1.py,185.26570831980155
bench_tree_n1_7_n2_1.py,241.48377519041875
bench_plot_lasso_path_61.py,54.10438804761904
bench_plot_lasso_path_98.py,206.78265490535918
plot_cv_predict.py,8.296632674157303
bench_plot_lasso_path_116.py,56.63257831944445
plot_species_distribution_modeling.py,74.01347322542672
plot_permutation_importance.py,45.22894972241183
bench_plot_lasso_path_76.py,90.26350356
bench_tree_n1_4_n2_8.py,125.44926944235925
bench_plot_lasso_path_8.py,37.781630625
plot_linearsvc_support_vectors.py,9.49437054368932
plot_bayesian_ridge.py,10.42015104477612
bench_plot_lasso_path_38.py,49.920685247422675
bench_plot_lasso_path_100.py,226.4280499693565
bench_plot_lasso_path_127.py,93.27385242857144
plot_compare_cross_decomposition.py,8.507857805714284
plot_compare_reduction.py,811.5595291240476
plot_nearest_centroid.py,8.80604075
bench_plot_lasso_path_94.py,224.29535006528192
plot_pcr_vs_pls.py,10.771002624454148
plot_changed_only_pprint_parameter.py,5.4727363539823015
plot_iterative_imputer_variants_comparison.py,222.9859277252396
plot_lasso_lars.py,8.417559167597766
bench_plot_lasso_path_69.py,72.99517649006621
bench_plot_neighbors.py,95.78313705148206
bench_plot_lasso_path_149.py,214.35098918114406
plot_nca_classification.py,287.6682628676263
plot_dict_face_patches.py,52.94250386329866
plot_nnls.py,8.073126843373494
bench_plot_lasso_path_119.py,62.66662791946308
bench_tree_n1_1_n2_10.py,52.48856182857143
bench_plot_lasso_path_136.py,133.3591655569044
bench_plot_lasso_path_68.py,67.38266445901641
bench_plot_lasso_path_92.py,201.27632467555554
bench_tree_n1_5_n2_8.py,154.07800427093184
bench_plot_lasso_path_144.py,189.5054175509965
plot_agglomerative_clustering.py,24.791322721915282
bench_tree_n1_1_n2_12.py,63.084371203146375
bench_tree_n1_5_n2_2.py,143.91544687733332
plot_omp.py,9.317712502857143
plot_grid_search_stats.py,23.23178862162162
energy_parser.pyc,0.14005599999999999
bench_plot_lasso_path_37.py,50.80665790816327
plot_partial_dependence_visualization_api.py,46.784133375
bench_tree_n1_4_n2_10.py,129.0930614266843
plot_isotonic_regression.py,8.068305664739883
bench_plot_lasso_path_40.py,50.387105497382194
plot_random_multilabel_dataset.py,8.527762889502762
bench_tree_n1_3_n2_7.py,79.81200048754063
plot_isolation_forest.py,11.762355173228347
bench_tree_n1_3_n2_2.py,69.84620340717822
bench_hist_gradient_boosting_categorical_only.py,16.624172718181818
bench_plot_lasso_path_114.py,52.77479154716981
plot_digits_agglomeration.py,10.830704051282051
bench_tree_n1_5_n2_6.py,158.54634588816856
plot_ica_blind_source_separation.py,10.11163851627907
plot_hashing_vs_dict_vectorizer.py,34.91135179620254
plot_nested_cross_validation_iris.py,65.98135441587517
bench_plot_lasso_path_104.py,249.16360287243535
bench_plot_svd.py,202.21694159137576
plot_iris_exercise.py,37.48644907183581
bench_text_vectorizers.py,3.0226192258064515
bench_tree_n1_2_n2_2.py,37.976882765837104
bench_tree_n1_1_n2_11.py,55.716051164225135
plot_rbf_parameters.py,67.5264070604915
bench_plot_lasso_path_42.py,52.539555509900985
bench_tree_n1_5_n2_1.py,143.21368852189454
plot_lw_vs_oas.py,34.80984062256809
plot_logistic_l1_l2_sparsity.py,16.145607674418603
bench_tree_n1_7_n2_4.py,252.86241797807241
plot_bias_variance.py,17.67489075
plot_multi_metric_evaluation.py,221.25953419402984
plot_f_test_vs_mi.py,8.59249324590164
plot_label_propagation_structure.py,8.694619700534759
plot_select_from_model_diabetes.py,181.6354235748631
bench_tree_n1_10_n2_1.py,545.9059620453651
bench_plot_lasso_path_13.py,39.54542826229508
bench_tree_n1_7_n2_7.py,297.01755067010754
bench_tree_n1_2_n2_6.py,49.97239395759118
plot_svm_nonlinear.py,31.78759735080645
bench_plot_lasso_path_15.py,39.369658479338845
plot_permutation_importance_multicollinear.py,48.420061998170176
plot_gradient_boosting_categorical.py,212.23892753966788
plot_gmm_pdf.py,8.877327378378379
plot_label_propagation_digits_active_learning.py,14.739549192982457
bench_plot_lasso_path_141.py,246.46584627551022
plot_sgd_loss_functions.py,3.73986195
bench_tree_n1_10_n2_2.py,537.3139480577503
plot_mean_shift.py,13.029430413194445
bench_plot_lasso_path_60.py,45.537877626598465
bench_plot_fastkmeans.py,608.6015732563121
bench_plot_lasso_path_51.py,57.937231629072684
Energy_Profiling_on_nano.csv,0.1881618333333333
bench_plot_lasso_path_156.py,281.17356155675674
bench_plot_lasso_path_150.py,230.81269191346158
plot_voting_regressor.py,14.82867348136646
bench_plot_lasso_path_28.py,47.751072096
plot_dbscan.py,9.112374150537635
plot_linear_model_coefficient_interpretation.py,90.84847998047591
plot_gpc.py,104.21763869281045
bench_plot_lasso_path_93.py,188.60279172208436
bench_tree_n1_7_n2_9.py,282.24905157778124
plot_multi_task_lasso_support.py,8.722283037837837
plot_compare_calibration.py,18.226535087323946
bench_tree_n1_4_n2_1.py,95.03469729014844
plot_calibration_curve.py,29.679734464285712
bench_plot_lasso_path_80.py,123.61679347826087
plot_classifier_chain_yeast.py,69.92145011385199
CPU-power.txt,0.141512
plot_column_transformer.py,36.735927566248264
bench_plot_lasso_path_121.py,73.43153401318682
plot_elastic_net_precomputed_gram_matrix_with_weighted_samples.py,15.454875701438848
plot_release_highlights_0_22_0.py,23.47550966808511
plot_adaboost_hastie_10_2.py,63.05076559751644
plot_gpc_iris.py,548.4744185353736
bench_plot_lasso_path_110.py,41.262131742465755
plot_calibration_multiclass.py,16.78078771662125
plot_mlp_alpha.py,291.31835680965645
bench_plot_lasso_path_118.py,62.73411601793722
plot_det.py,9.419103655
bench_tree_n1_1_n2_4.py,27.364945016077165
bench_tree_n1_6_n2_10.py,218.01362890303272
GPU-power.txt,0.183405
plot_swissroll.py,10.98904045945946
plot_color_quantization.py,16.746316935810814
bench_tree_n1_6_n2_6.py,191.13817590193432
bench_glm.py,64.98569830403801
bench_plot_lasso_path_86.py,156.17053068292682
bench_plot_lasso_path_9.py,37.677013377049185
plot_grid_search_refit_callable.py,324.6773328785812
bench_plot_lasso_path_26.py,45.492589477211794
bench_plot_lasso_path_148.py,206.84038263325988
bench_plot_lasso_path_139.py,162.58365654015543
bench_plot_lasso_path_154.py,272.4672475448717
bench_tree_n1_7_n2_6.py,265.0548728731819
plot_prediction_latency.py,94.25271091046183
plot_adjusted_for_chance_measures.py,18.658384607655503
plot_random_dataset.py,9.14297625
bench_plot_lasso_path_82.py,141.16862105838325
plot_gradient_boosting_early_stopping.py,439.6672364431223
plot_outlier_detection_wine.py,25.67711637668919
bench_plot_lasso_path_67.py,71.72953702335457
plot_map_data_to_normal.py,26.118892458620685
plot_voting_probas.py,11.434311000000001
bench_plot_lasso_path_24.py,44.11831034722223
bench_plot_lasso_path_27.py,46.22652886920981
bench_plot_lasso_path_88.py,168.59410035146445
plot_stock_market.py,98.75304883613445
bench_plot_lasso_path_43.py,53.132502148883376
